is_canceled,arrival_date_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,assigned_room_type,required_car_parking_spaces
1,July,0,3,2,0,0,BB,PRT,A,0
1,July,0,3,2,0,0,HB,PRT,D,0
1,July,0,4,2,0,0,BB,PRT,E,0
1,July,2,5,2,0,0,BB,PRT,E,0
1,July,2,8,2,0,0,BB,PRT,E,0
1,July,1,3,3,0,0,BB,PRT,D,0
1,July,1,3,3,0,0,BB,PRT,D,0
1,July,1,3,3,0,0,BB,PRT,D,0
1,July,2,3,2,0,0,BB,PRT,G,0
1,July,2,5,2,2,0,BB,PRT,G,0
1,July,0,3,2,0,0,HB,PRT,A,0
1,July,0,2,3,0,0,BB,PRT,A,0
1,July,0,2,2,0,0,BB,PRT,A,0
1,July,0,2,2,0,0,BB,PRT,D,0
1,July,0,2,2,0,0,BB,PRT,A,0
1,July,0,2,3,0,0,BB,PRT,A,0
1,July,1,2,2,0,0,BB,PRT,E,0
1,July,3,7,2,0,0,BB,PRT,A,0
1,July,3,7,2,0,0,HB,PRT,A,0
1,July,0,2,2,0,0,BB,PRT,A,0
1,July,0,2,2,0,0,BB,PRT,A,0
1,July,2,5,2,0,0,BB,PRT,F,0
1,July,2,5,2,2,0,BB,PRT,H,0
1,July,2,5,3,0,0,HB,PRT,D,0
1,July,2,5,2,0,0,BB,PRT,A,0
1,July,2,6,2,0,0,BB,PRT,E,0
1,July,0,1,1,0,0,HB,PRT,A,0
1,July,0,1,2,0,0,BB,PRT,A,0
1,July,0,1,2,0,0,BB,PRT,D,0
1,July,1,0,2,0,0,BB,PRT,D,0
1,July,1,0,2,0,0,BB,PRT,D,0
1,July,2,4,2,2,0,BB,PRT,H,0
1,July,2,5,2,0,0,HB,PRT,D,0
1,July,2,5,2,0,0,HB,PRT,A,0
1,July,1,3,2,0,0,HB,PRT,E,0
1,July,2,5,1,0,0,HB,PRT,A,0
1,July,3,7,2,0,0,BB,PRT,D,0
1,July,0,2,2,0,0,BB,PRT,A,0
1,July,0,5,2,0,0,HB,PRT,A,0
1,July,2,5,2,0,0,HB,PRT,E,0
1,July,2,5,2,0,0,BB,PRT,A,0
1,July,0,4,2,0,0,BB,PRT,A,0
1,July,0,4,2,0,0,BB,PRT,A,0
1,July,0,1,2,0,0,BB,PRT,A,0
1,July,0,1,2,0,0,BB,PRT,A,0
1,July,1,4,2,0,0,BB,PRT,A,0
1,July,2,5,2,1,0,HB,PRT,D,0
1,July,0,3,2,0,0,BB,PRT,D,0
1,July,0,3,2,2,0,BB,PRT,C,0
1,July,0,3,2,2,0,BB,PRT,G,0
1,July,1,3,2,0,0,BB,PRT,A,0
1,July,1,3,2,0,0,BB,PRT,A,0
1,July,2,6,2,0,0,HB,PRT,A,0
1,July,2,3,2,0,0,BB,PRT,E,0
1,July,2,3,2,1,0,HB,PRT,A,0
1,July,2,4,2,0,0,BB,PRT,E,0
1,July,2,5,2,0,0,BB,PRT,A,0
1,July,2,6,2,0,0,BB,PRT,D,0
1,July,2,4,2,0,0,BB,PRT,A,0
1,July,2,5,3,1,0,BB,PRT,C,0
1,July,2,5,2,0,0,HB,PRT,A,0
